
== Totals (last 30 days) ==
sessions,totalUsers,conversions,eventCount,engagedSessions
2012,1877,2,26916,1028

== Daily trend ==
date,sessions,conversions,totalUsers
20260719,188,0,181
20260720,89,0,83
20260728,89,0,85
20260729,87,0,80
20260716,84,0,83
20260727,77,0,68
20260717,76,0,69
20260809,70,0,70
20260724,69,0,63
20260811,69,0,67
20260807,66,0,65
20260730,63,0,60
20260731,63,0,63
20260722,62,0,58
20260715,60,0,57
20260723,60,0,55
20260804,58,0,55
20260813,58,0,51
20260718,57,0,57
20260810,57,0,55
20260803,55,0,49
20260802,51,0,49
20260814,51,0,47
20260801,50,0,50
20260808,49,0,49
20260721,48,0,48
20260805,48,0,45
20260726,46,0,46
20260812,45,2,44
20260725,44,0,43
20260806,32,0,32

== Cross-domain integrity check - checkout source/medium ==
sessionSource,sessionMedium,sessions,totalUsers
ig,paid,716,707
(direct),(none),143,129
google,organic,65,52
(not set),(not set),21,20
ig,social,8,7
chatgpt.com,ai-assistant,4,4
sensuali.com,referral,2,2
bing,organic,1,1
facebook.com,referral,1,1
m.baidu.com,referral,1,1
search.brave.com,referral,1,1
timeout.com,referral,1,1

== Full checkout funnel - events by hostname ==
hostName,eventName,eventCount,totalUsers
denartny.com,page_view,4920,1720
denartny.com,ab_variant_assigned,4649,1620
denartny.com,session_start,3627,1718
denartny.com,first_visit,3388,1702
checkout.denartny.com,page_view,2100,912
checkout.denartny.com,sessions_loaded,1936,838
checkout.denartny.com,date_selected,1850,816
denartny.com,user_engagement,1711,293
denartny.com,scroll,1460,448
checkout.denartny.com,scroll,305,96
checkout.denartny.com,session_start,182,93
checkout.denartny.com,first_visit,180,92
127.0.0.1,first_visit,96,48
127.0.0.1,page_view,96,48
127.0.0.1,session_start,96,48
denartny.com,begin_checkout,54,20
checkout.denartny.com,user_engagement,42,14
checkout.denartny.com,add_payment_info,32,12
checkout.denartny.com,begin_checkout,32,12
checkout.denartny.com,checkout_abandoned,30,11
denartny.com,form_start,18,8
www.denartny.com,ab_variant_assigned,18,5
www.denartny.com,first_visit,18,5
www.denartny.com,page_view,18,5
www.denartny.com,session_start,18,5
denartny.com,click,16,6
127.0.0.1,ab_variant_assigned,12,6
127.0.0.1,form_start,6,3
127.0.0.1,scroll,4,2
checkout.denartny.com,purchase,2,1

== Funnel step - page_view ==
totalUsers,eventCount
1863,7134

== Funnel step - begin_checkout ==
totalUsers,eventCount
21,86

== Funnel step - date_selected ==
totalUsers,eventCount
816,1850

== Funnel step - form_start ==
totalUsers,eventCount
11,24

== Funnel step - purchase ==
totalUsers,eventCount
1,2

== Drop-off signal - checkout_abandoned ==
totalUsers,eventCount
11,30

== Traffic by source/medium ==
sessionSource,sessionMedium,sessions,totalUsers,conversions,engagementRate
ig,paid,1036,1027,0,0.68725868725868722
(direct),(none),514,448,2,0.26070038910505838
google,organic,335,294,0,0.34328358208955223
(not set),(not set),57,56,0,0
m.baidu.com,referral,23,21,0,0.56521739130434778
ig,social,14,13,0,1
openai,(not set),13,13,0,0.15384615384615385
baidu,organic,10,9,0,0.8
chatgpt.com,ai-assistant,6,6,0,0.83333333333333337
duckduckgo,organic,6,5,0,0.5
bing,organic,4,4,0,1
sensuali.com,referral,4,3,0,0.75
facebook.com,referral,3,3,0,0.66666666666666663
search.brave.com,referral,3,3,0,0.33333333333333331
timeout.com,referral,3,2,0,0.66666666666666663
cn.bing.com,referral,2,2,0,1
google.com,referral,2,1,0,0
t.co,referral,2,2,0,1
yelp.com,referral,2,2,0,1
(data not available),(data not available),1,1,0,0
claude.ai,ai-assistant,1,1,0,0
